Time,Sensor,Range,Range Variance,Azimuth,Azimuth Variance,Elevation,Elevation Variance,X,Y,Z
370.0,S1,93.7450759341797,0.010000000000000002,1.5701732437049511,3.046174197867086e-06,-0.12600431974892332,3.046174197867086e-06,92.90818035622068,0.0,-11.76815037051042
371.0,S1,93.6977176666723,0.010000000000000002,1.5704635795058262,3.046174197867086e-06,-0.1246248035800223,3.046174197867086e-06,92.87124711710528,0.0,-11.807515142034866
372.0,S1,93.54845764323096,0.010000000000000002,1.5745487475416076,3.046174197867086e-06,-0.12781281883776802,3.046174197867086e-06,92.8342273178196,0.0,-11.84684142646987
373.0,S1,93.6150977941177,0.010000000000000002,1.569853136923513,3.046174197867086e-06,-0.12731084825469013,3.046174197867086e-06,92.79712104308759,0.0,-11.886129176230634
374.0,S1,93.43649147475084,0.010000000000000002,1.5714720266765312,3.046174197867086e-06,-0.12802889907390871,3.046174197867086e-06,92.75992837773784,0.0,-11.925378343778986
375.0,S1,93.46750351323925,0.010000000000000002,1.5706331946677288,3.046174197867086e-06,-0.1298798127048132,3.046174197867086e-06,92.72264940670343,0.0,-11.964588881623436
376.0,S1,93.53405669157829,0.010000000000000002,1.5689100054434604,3.046174197867086e-06,-0.13166752454376968,3.046174197867086e-06,92.68528421502192,0.0,-12.003760742319239
377.0,S1,93.48002167499773,0.010000000000000002,1.5716230157628457,3.046174197867086e-06,-0.12841160165518933,3.046174197867086e-06,92.64783288783521,0.0,-12.04289387846845
378.0,S1,93.35397613669637,0.010000000000000002,1.573062579691181,3.046174197867086e-06,-0.1285915299709928,3.046174197867086e-06,92.61029551038939,0.0,-12.081988242719975
379.0,S1,93.37934322325184,0.010000000000000002,1.5719106384433115,3.046174197867086e-06,-0.12882498450129423,3.046174197867086e-06,92.57267216803466,0.0,-12.12104378776964
380.0,S1,93.35430517505897,0.010000000000000002,1.5714779608779759,3.046174197867086e-06,-0.13162407479400076,3.046174197867086e-06,92.53496294622525,0.0,-12.160060466360243
381.0,S1,93.39195431793816,0.010000000000000002,1.5719290537062032,3.046174197867086e-06,-0.12822221275044499,3.046174197867086e-06,92.49716793051935,0.0,-12.199038231281605
382.0,S1,93.27698467629477,0.010000000000000002,1.5710752609321599,3.046174197867086e-06,-0.13264402581859389,3.046174197867086e-06,92.4592872065789,0.0,-12.237977035370637
383.0,S1,93.1832140898143,0.010000000000000002,1.5683088021398384,3.046174197867086e-06,-0.13106395740412413,3.046174197867086e-06,92.42132086016956,0.0,-12.276876831511387
